,subject_r,subject_pval,correct_r,correct_pval,frequency_r,frequency_pval,correct-frequency_r,correct-frequency_pval
2394,-0.1132085529130797,0.4505974757803519,-0.1020912702262601,0.4962079438576763,0.1415433160141948,0.3458441438570521,0.0421313946065755,0.7786958271459168
2395,-0.1132085529130797,0.4505974757803519,-0.1020912702262601,0.4962079438576763,0.1420153882081476,0.3442432095142464,0.0421313946065755,0.7786958271459168
2396,-0.1125641864324353,0.4531738388782216,-0.1020912702262601,0.4962079438576763,0.1420153882081476,0.3442432095142464,0.0421313946065755,0.7786958271459168
2397,-0.1125641864324353,0.4531738388782216,-0.1020912702262601,0.4962079438576763,0.1420153882081476,0.3442432095142464,0.0421313946065755,0.7786958271459168
2398,-0.1125641864324353,0.4531738388782216,-0.1020912702262601,0.4962079438576763,0.1397146260922014,0.3520909575841847,0.0414940572802008,0.7819573770073945
2399,-0.1100461871198088,0.4633217608488538,-0.1020912702262601,0.4962079438576763,0.1345285190944089,0.3701966710360642,0.0406250151159031,0.7864109116488514
2400,-0.1106901929391574,0.4607141981182317,-0.1015068698693722,0.4986725904865379,0.1345285190944089,0.3701966710360642,0.0406250151159031,0.7864109116488514
2401,-0.1106901929391574,0.4607141981182317,-0.1015068698693722,0.4986725904865379,0.1345285190944089,0.3701966710360642,0.0432323308608219,0.7730711310070606
2402,-0.1070615209429731,0.4755145588251674,-0.1015068698693722,0.4986725904865379,0.1345285190944089,0.3701966710360642,0.0449129101033453,0.7645083182813982
2403,-0.1070615209429731,0.4755145588251674,-0.1031433662858799,0.4917874530287955,0.1349996821305686,0.3685279893819768,0.0467676370240527,0.7550919164182933
2404,-0.1070615209429731,0.4755145588251674,-0.1033187376903601,0.4910526952937773,0.1351174821910643,0.3681115267232874,0.0467676370240527,0.7550919164182933
2405,-0.1069445142645535,0.4759961467753470,-0.1033187376903601,0.4910526952937773,0.1370027924407239,0.3614866825295214,0.0474632418376250,0.7515697300769338
2406,-0.1082902680185350,0.4704735118363739,-0.1033187376903601,0.4910526952937773,0.1370027924407239,0.3614866825295214,0.0474632418376250,0.7515697300769338
2407,-0.1058330958407471,0.4805840894292757,-0.1033187376903601,0.4910526952937773,0.1370027924407239,0.3614866825295214,0.0503041117670278,0.7372399953684443
2408,-0.1001630105639610,0.5043650491157976,-0.1033187376903601,0.4910526952937773,0.1388890710646446,0.3549345764366971,0.0486226855289554,0.7457105482346240
2409,-0.1010393993474716,0.5006488252562933,-0.1033187376903601,0.4910526952937773,0.1354119986575404,0.3670716093097747,0.0486226855289554,0.7457105482346240
2410,-0.0950829354707044,0.5261930316965122,-0.1033187376903601,0.4910526952937773,0.1407173403168760,0.3486567872917052,0.0452026905068949,0.7630347474292926
2411,-0.0941492089063553,0.5302575184632385,-0.1033187376903601,0.4910526952937773,0.1407173403168760,0.3486567872917052,0.0452026905068949,0.7630347474292926
2412,-0.0975347586087160,0.5155974652915616,-0.1033187376903601,0.4910526952937773,0.1407173403168760,0.3486567872917052,0.0452026905068949,0.7630347474292926
2413,-0.0975347586087160,0.5155974652915616,-0.1040202867483510,0.4881193720005077,0.1426055669061229,0.3422484798510677,0.0452026905068949,0.7630347474292926
2414,-0.0977099332249598,0.5148447553014623,-0.1040202867483510,0.4881193720005077,0.1426055669061229,0.3422484798510677,0.0452026905068949,0.7630347474292926
2415,-0.0975347586087160,0.5155974652915616,-0.1040202867483510,0.4881193720005077,0.1426055669061229,0.3422484798510677,0.0452026905068949,0.7630347474292926
2416,-0.0977099332249598,0.5148447553014623,-0.1008056806020052,0.5016384448169375,0.1391249246872006,0.3541206883544774,0.0452026905068949,0.7630347474292926
2417,-0.0977099332249598,0.5148447553014623,-0.0993451860581779,0.5078461623711992,0.1391249246872006,0.3541206883544774,0.0452026905068949,0.7630347474292926
2418,-0.0979435086807799,0.5138420008222527,-0.0993451860581779,0.5078461623711992,0.1400095129773315,0.3510787665084103,0.0452026905068949,0.7630347474292926
2419,-0.0973012017335322,0.5166019363153531,-0.0993451860581779,0.5078461623711992,0.1400095129773315,0.3510787665084103,0.0446810912099647,0.7656877687178596
2420,-0.0975931494839381,0.5153465006600015,-0.0993451860581779,0.5078461623711992,0.1381226526748864,0.3575875828538897,0.0439277128199753,0.7695245960055457
2421,-0.0980603004021319,0.5133409920548047,-0.0993451860581779,0.5078461623711992,0.1393018249957852,0.3535110205622856,0.0452606474964316,0.7627401326075181
2422,-0.0942075620047083,0.5300030374385700,-0.0993451860581779,0.5078461623711992,0.1393018249957852,0.3535110205622856,0.0452606474964316,0.7627401326075181
2423,-0.0949662106431545,0.5267002500054214,-0.0993451860581779,0.5078461623711992,0.1393018249957852,0.3535110205622856,0.0482748388472414,0.7474668282002177
2424,-0.0949662106431545,0.5267002500054214,-0.0993451860581779,0.5078461623711992,0.1400095129773315,0.3510787665084103,0.0482748388472414,0.7474668282002177
2425,-0.0949662106431545,0.5267002500054214,-0.0993451860581779,0.5078461623711992,0.1400095129773315,0.3510787665084103,0.0479270038383213,0.7492243757678463
2426,-0.0907658097572422,0.5451192150122329,-0.0993451860581779,0.5078461623711992,0.1419563757495560,0.3444430759930949,0.0530297897347794,0.7235775164939979
2427,-0.0862772422986958,0.5651528494808584,-0.0993451860581779,0.5078461623711992,0.1419563757495560,0.3444430759930949,0.0530297897347794,0.7235775164939979
2428,-0.0862772422986958,0.5651528494808584,-0.0995204229793659,0.5070991853691540,0.1419563757495560,0.3444430759930949,0.0530297897347794,0.7235775164939979
2429,-0.0833644553038833,0.5783420749651671,-0.0942659157427466,0.5297486163850821,0.1438452639306223,0.3380828526378981,0.0492024561682646,0.7427862542192772
2430,-0.0833644553038833,0.5783420749651671,-0.0942659157427466,0.5297486163850821,0.1438452639306223,0.3380828526378981,0.0492024561682646,0.7427862542192772
2431,-0.0876758959332394,0.5588720588268119,-0.0928072632594635,0.5361270798358243,0.1438452639306223,0.3380828526378981,0.0469415339613572,0.7542109053485829
2432,-0.0842963912510682,0.5741063364286674,-0.0928072632594635,0.5361270798358243,0.1438452639306223,0.3380828526378981,0.0469415339613572,0.7542109053485829
2433,-0.0791725072587920,0.5975762359719972,-0.0926322515428738,0.5368949976775135,0.1424285029540457,0.3428461473637296,0.0453186047898247,0.7624455509927612
